game_id,season_id,team_id_home,game_date,matchup_home,wl_home,pts_home,team_id_away,wl_away,pts_away,game_status_text,season,attendance,series_leader
21500162,22015,1610612752,11/17/2015,NYK vs. CHA,W,102,1610612766,L,94,Final,2015,19812.0,Charlotte
21500159,22015,1610612751,11/17/2015,BKN vs. ATL,W,90,1610612737,L,88,Final,2015,12241.0,Atlanta
21500161,22015,1610612748,11/17/2015,MIA vs. MIN,L,91,1610612750,W,103,Final,2015,19600.0,Tied
21500160,22015,1610612765,11/17/2015,DET vs. CLE,W,104,1610612739,L,99,Final,2015,18442.0,Detroit
21500158,22015,1610612764,11/17/2015,WAS vs. MIL,W,115,1610612749,L,86,Final,2015,15485.0,Washington
21500163,22015,1610612740,11/17/2015,NOP vs. DEN,L,98,1610612743,W,115,Final,2015,17269.0,New Orleans
21500167,22015,1610612755,11/18/2015,PHI vs. IND,L,85,1610612754,W,112,Final,2015,11080.0,Indiana
21500172,22015,1610612759,11/18/2015,SAS vs. DEN,W,109,1610612743,L,98,Final,2015,18418.0,San Antonio
21500174,22015,1610612756,11/18/2015,PHX vs. CHI,L,97,1610612741,W,103,Final,2015,17377.0,Tied
21500168,22015,1610612738,11/18/2015,BOS vs. DAL,L,102,1610612742,W,106,Final,2015,17262.0,Dallas
21500166,22015,1610612753,11/18/2015,ORL vs. MIN,W,104,1610612750,L,101,Final,2015,16048.0,Orlando
21500170,22015,1610612745,11/18/2015,HOU vs. POR,W,108,1610612757,L,103,Final,2015,17107.0,Tied
21500173,22015,1610612762,11/18/2015,UTA vs. TOR,W,93,1610612761,L,89,Final,2015,18741.0,Tied
21500169,22015,1610612737,11/18/2015,ATL vs. SAC,W,103,1610612758,L,97,Final,2015,13008.0,Tied
21500165,22015,1610612766,11/18/2015,CHA vs. BKN,W,116,1610612751,L,111,Final,2015,14040.0,Charlotte
21500171,22015,1610612760,11/18/2015,OKC vs. NOP,W,110,1610612740,L,103,Final,2015,18203.0,Oklahoma City
21500177,22015,1610612746,11/19/2015,LAC vs. GSW,L,117,1610612744,W,124,Final,2015,19528.0,Golden State
21500176,22015,1610612739,11/19/2015,CLE vs. MIL,W,115,1610612749,L,100,Final,2015,20562.0,Cleveland
21500175,22015,1610612748,11/19/2015,MIA vs. SAC,W,116,1610612758,L,109,Final,2015,19600.0,Miami
21500187,22015,1610612744,11/20/2015,GSW vs. CHI,W,106,1610612741,L,94,Final,2015,19596.0,Golden State
21500188,22015,1610612747,11/20/2015,LAL vs. TOR,L,91,1610612761,W,102,Final,2015,18997.0,Toronto
21500179,22015,1610612738,11/20/2015,BOS vs. BKN,W,120,1610612751,L,95,Final,2015,18361.0,Tied
21500186,22015,1610612757,11/20/2015,POR vs. LAC,W,102,1610612746,L,91,Final,2015,19393.0,LA Clippers
21500184,22015,1610612742,11/20/2015,DAL vs. UTA,W,102,1610612762,L,93,Final,2015,20028.0,Dallas
21500185,22015,1610612743,11/20/2015,DEN vs. PHX,L,107,1610612756,W,114,Final,2015,12264.0,Tied
21500178,22015,1610612766,11/20/2015,CHA vs. PHI,W,113,1610612755,L,88,Final,2015,17926.0,Charlotte
21500181,22015,1610612750,11/20/2015,MIN vs. DET,L,86,1610612765,W,96,Final,2015,13445.0,Detroit
21500183,22015,1610612760,11/20/2015,OKC vs. NYK,L,90,1610612752,W,93,Final,2015,18203.0,Tied
21500180,22015,1610612763,11/20/2015,MEM vs. HOU,W,96,1610612745,L,84,Final,2015,17555.0,Tied
21500182,22015,1610612740,11/20/2015,NOP vs. SAS,W,104,1610612759,L,90,Final,2015,16698.0,San Antonio
21500195,22015,1610612759,11/21/2015,SAS vs. MEM,W,92,1610612763,L,82,Final,2015,18418.0,San Antonio
21500189,22015,1610612753,11/21/2015,ORL vs. SAC,L,91,1610612758,W,97,Final,2015,16104.0,Tied
21500191,22015,1610612739,11/21/2015,CLE vs. ATL,W,109,1610612737,L,97,Final,2015,20562.0,Cleveland
21500194,22015,1610612745,11/21/2015,HOU vs. NYK,L,102,1610612752,W,107,Final,2015,18226.0,Tied
21500193,22015,1610612748,11/21/2015,MIA vs. PHI,W,96,1610612755,L,91,Final,2015,19673.0,Miami
21500192,22015,1610612765,11/21/2015,DET vs. WAS,L,95,1610612764,W,97,Final,2015,15890.0,Washington
21500190,22015,1610612754,11/21/2015,IND vs. MIL,W,123,1610612749,L,86,Final,2015,17137.0,Indiana
21500201,22015,1610612747,11/22/2015,LAL vs. POR,L,93,1610612757,W,107,Final,2015,18997.0,Portland
21500197,22015,1610612751,11/22/2015,BKN vs. BOS,W,111,1610612738,L,101,Final,2015,14866.0,Tied
21500196,22015,1610612746,11/22/2015,LAC vs. TOR,L,80,1610612761,W,91,Final,2015,19060.0,Toronto
21500200,22015,1610612743,11/22/2015,DEN vs. GSW,L,105,1610612744,W,118,Final,2015,17689.0,Golden State
21500199,22015,1610612760,11/22/2015,OKC vs. DAL,W,117,1610612742,L,114,Final,2015,18203.0,Oklahoma City
21500198,22015,1610612740,11/22/2015,NOP vs. PHX,W,122,1610612756,L,116,Final,2015,16680.0,Tied
21500207,22015,1610612759,11/23/2015,SAS vs. PHX,W,98,1610612756,L,84,Final,2015,18418.0,San Antonio
21500203,22015,1610612739,11/23/2015,CLE vs. ORL,W,117,1610612753,L,103,Final,2015,20562.0,Cleveland
21500204,22015,1610612748,11/23/2015,MIA vs. NYK,W,95,1610612752,L,78,Final,2015,19777.0,Miami
21500208,22015,1610612762,11/23/2015,UTA vs. OKC,L,89,1610612760,W,111,Final,2015,19911.0,Oklahoma City
21500205,22015,1610612749,11/23/2015,MIL vs. DET,W,109,1610612765,L,88,Final,2015,12319.0,Detroit
21500206,22015,1610612750,11/23/2015,MIN vs. PHI,W,100,1610612755,L,95,Final,2015,11382.0,Tied
21500202,22015,1610612766,11/23/2015,CHA vs. SAC,W,127,1610612758,L,122,Final,2015,14163.0,Charlotte
21500214,22015,1610612744,11/24/2015,GSW vs. LAL,W,111,1610612747,L,77,Final,2015,19596.0,Golden State
21500213,22015,1610612757,11/24/2015,POR vs. CHI,L,88,1610612741,W,93,Final,2015,19393.0,Tied
21500210,22015,1610612737,11/24/2015,ATL vs. BOS,W,121,1610612738,L,97,Final,2015,18968.0,Atlanta
21500212,22015,1610612743,11/24/2015,DEN vs. LAC,L,94,1610612746,W,111,Final,2015,13257.0,LA Clippers
21500209,22015,1610612764,11/24/2015,WAS vs. IND,L,106,1610612754,W,123,Final,2015,15486.0,Indiana
21500211,22015,1610612763,11/24/2015,MEM vs. DAL,W,110,1610612742,L,96,Final,2015,17381.0,Dallas
21500224,22015,1610612759,11/25/2015,SAS vs. DAL,W,88,1610612742,L,83,Final,2015,18418.0,San Antonio
21500225,22015,1610612756,11/25/2015,PHX vs. NOP,L,114,1610612740,W,120,Final,2015,16338.0,Tied
21500217,22015,1610612738,11/25/2015,BOS vs. PHI,W,84,1610612755,L,80,Final,2015,17588.0,Boston
21500226,22015,1610612746,11/25/2015,LAC vs. UTA,L,91,1610612762,W,102,Final,2015,19060.0,LA Clippers
21500216,22015,1610612753,11/25/2015,ORL vs. NYK,W,100,1610612752,L,91,Final,2015,18846.0,Orlando
21500220,22015,1610612745,11/25/2015,HOU vs. MEM,L,93,1610612763,W,102,Final,2015,18143.0,Tied
21500218,22015,1610612765,11/25/2015,DET vs. MIA,W,104,1610612748,L,81,Final,2015,15119.0,Tied
21500221,22015,1610612749,11/25/2015,MIL vs. SAC,L,118,1610612758,W,129,Final,2015,14120.0,Sacramento
21500215,22015,1610612766,11/25/2015,CHA vs. WAS,W,101,1610612764,L,87,Final,2015,17064.0,Tied
21500222,22015,1610612750,11/25/2015,MIN vs. ATL,W,99,1610612737,L,95,Final,2015,14289.0,Minnesota
21500219,22015,1610612761,11/25/2015,TOR vs. CLE,W,103,1610612739,L,99,Final,2015,20140.0,Toronto
21500223,22015,1610612760,11/25/2015,OKC vs. BKN,W,110,1610612751,L,99,Final,2015,18203.0,Tied
21500230,22015,1610612752,11/27/2015,NYK vs. MIA,L,78,1610612748,W,97,Final,2015,19812.0,Miami
21500236,22015,1610612756,11/27/2015,PHX vs. GSW,L,116,1610612744,W,135,Final,2015,18055.0,Golden State
21500229,22015,1610612738,11/27/2015,BOS vs. WAS,W,111,1610612764,L,78,Final,2015,18624.0,Boston
21500238,22015,1610612746,11/27/2015,LAC vs. NOP,W,111,1610612740,L,90,Final,2015,19162.0,LA Clippers
21500228,22015,1610612753,11/27/2015,ORL vs. MIL,W,114,1610612749,L,90,Final,2015,16317.0,Tied
21500232,22015,1610612745,11/27/2015,HOU vs. PHI,W,116,1610612755,L,114,Final,2015,17306.0,Houston
21500231,22015,1610612754,11/27/2015,IND vs. CHI,W,104,1610612741,L,92,Final,2015,18165.0,Chicago
21500237,22015,1610612758,11/27/2015,SAC vs. MIN,L,91,1610612750,W,101,Final,2015,17317.0,Minnesota
